Field1,Field2,Field3,Field4,Field5
1,A,1,A,1
2,A,2,2,5
3,A,2,2,5
5,B,2,2,5
6,B,2,2,5
7,B,2,2,5
8,B,2,2,5
9,B,2,2,5
10,B,2,2,5
11,B,2,2,5
12,B,2,2,5
13,B,2,2,5
14,B,2,2,5
15,B,2,2,5
16,B,2,2,5
17,B,2,2,5
18,B,2,2,5
19,B,2,2,5
20,B,2,2,5
21,B,2,2,5
22,B,2,2,5
23,B,2,2,5
24,B,2,2,5
25,B,2,2,5
26,B,2,2,5
27,B,2,2,5
28,B,2,2,5
29,B,2,2,5
30,B,2,2,5
31,B,2,2,5
32,B,2,2,5
33,B,2,2,5
34,B,2,2,5
35,B,2,2,5
36,B,2,2,5
37,B,2,2,5
38,B,2,2,5
39,B,2,2,5
40,B,2,2,5
41,B,2,2,5
42,B,2,2,5
43,B,2,2,5
44,B,2,2,5
45,B,2,2,5
46,B,2,2,5
47,B,2,2,5
48,B,2,2,5
49,B,2,2,5
50,B,2,2,5
51,B,2,2,5
52,B,2,2,5
53,B,2,2,5
54,B,2,2,5
55,B,2,2,5
56,B,2,2,5
57,B,2,2,5
58,B,2,2,5
59,B,2,2,5
60,B,2,2,5
61,B,2,2,5
62,B,2,2,5
63,B,2,2,5
64,B,2,2,5
65,B,2,2,5
66,B,2,2,5
67,B,2,2,5
68,B,2,2,5
69,B,2,2,5
70,B,2,2,5
71,B,2,2,5
72,B,2,2,5
73,B,2,2,5
74,B,2,2,5
75,B,2,2,5
76,B,2,2,5
77,B,2,2,5
78,B,2,2,5
79,B,2,2,5
80,B,2,2,5
81,B,2,2,5
82,B,2,2,5
83,B,2,2,5
84,B,2,2,5
85,B,2,2,5
86,B,2,2,5
87,B,2,2,5
88,B,2,2,5
89,B,2,2,5
90,B,2,2,5
91,B,2,2,5
92,B,2,2,5
93,B,2,2,5
94,B,2,2,5
95,B,2,2,5
96,B,2,2,5
97,B,2,2,5
98,B,2,2,5
99,B,2,2,5
100,B,2,2,5
101,B,2,2,5
102,B,2,2,5
103,B,2,2,5
104,B,2,2,5
105,B,2,2,5
106,B,2,2,5
107,B,2,2,5
108,B,2,2,5
109,B,2,2,5
110,B,2,2,5
111,B,2,2,5
112,B,2,2,5
113,B,2,2,5
114,B,2,2,5
115,B,2,2,5
116,B,2,2,5
117,B,2,2,5
118,B,2,2,5
119,B,2,2,5
120,B,2,2,5
121,B,2,2,5
122,B,2,2,5
123,B,2,2,5
124,B,2,2,5
125,B,2,2,5
126,B,2,2,5
127,B,2,2,5
128,B,2,2,5
129,B,2,2,5
130,B,2,2,5
131,B,2,2,5
132,B,2,2,5
133,B,2,2,5
134,B,2,2,5
135,B,2,2,5
136,B,2,2,5
137,B,2,2,5
138,B,2,2,5
139,B,2,2,5
140,B,2,2,5
141,B,2,2,5
142,B,2,2,5
143,B,2,2,5
144,B,2,2,5
145,B,2,2,5
146,B,2,2,5
147,B,2,2,5
148,B,2,2,5
149,B,2,2,5
150,B,2,2,5
151,B,2,2,5
152,B,2,2,5
153,B,2,2,5
154,B,2,2,5
155,B,2,2,5
156,B,2,2,5
157,B,2,2,5
158,B,2,2,5
159,B,2,2,5
160,B,2,2,5
161,B,2,2,5
162,B,2,2,5
163,B,2,2,5
164,B,2,2,5
165,B,2,2,5
166,B,2,2,5
167,B,2,2,5
168,B,2,2,5
169,B,2,2,5
170,B,2,2,5
171,B,2,2,5
172,B,2,2,5
173,B,2,2,5
174,B,2,2,5
175,B,2,2,5
176,B,2,2,5
177,B,2,2,5
178,B,2,2,5
179,B,2,2,5
180,B,2,2,5
181,B,2,2,5
182,B,2,2,5
183,B,2,2,5
184,B,2,2,5
185,B,2,2,5
186,B,2,2,5
187,B,2,2,5
188,B,2,2,5
189,B,2,2,5
190,B,2,2,5
191,B,2,2,5
192,B,2,2,5
193,B,2,2,5
194,B,2,2,5
195,B,2,2,5
196,B,2,2,5
197,B,2,2,5
198,B,2,2,5
199,B,2,2,5
200,B,2,2,5
201,B,2,2,5
202,B,2,2,5
203,B,2,2,5
204,B,2,2,5
205,B,2,2,5
206,B,2,2,5
207,B,2,2,5
208,B,2,2,5
209,B,2,2,5
210,B,2,2,5
211,B,2,2,5
212,B,2,2,5
213,B,2,2,5
214,B,2,2,5
215,B,2,2,5
216,B,2,2,5
217,B,2,2,5
218,B,2,2,5
219,B,2,2,5
220,B,2,2,5
221,B,2,2,5
222,B,2,2,5
223,B,2,2,5
224,B,2,2,5
225,B,2,2,5
226,B,2,2,5
227,B,2,2,5
228,B,2,2,5
229,B,2,2,5
230,B,2,2,5
231,B,2,2,5
232,B,2,2,5
233,B,2,2,5
234,B,2,2,5
235,B,2,2,5
236,B,2,2,5
237,B,2,2,5
238,B,2,2,5
239,B,2,2,5
240,B,2,2,5
241,B,2,2,5
242,B,2,2,5
243,B,2,2,5
244,B,2,2,5
245,B,2,2,5
246,B,2,2,5
247,B,2,2,5
248,B,2,2,5
249,B,2,2,5
250,B,2,2,5
251,B,2,2,5
252,B,2,2,5
253,B,2,2,5
254,B,2,2,5
255,B,2,2,5
256,B,2,2,5
257,B,2,2,5
258,B,2,2,5
259,B,2,2,5
260,B,2,2,5
261,B,2,2,5
262,B,2,2,5
263,B,2,2,5
264,B,2,2,5
265,B,2,2,5
266,B,2,2,5
267,B,2,2,5
268,B,2,2,5
269,B,2,2,5
270,B,2,2,5
271,B,2,2,5
272,B,2,2,5
273,B,2,2,5
274,B,2,2,5
275,B,2,2,5
276,B,2,2,5
277,B,2,2,5
278,B,2,2,5
279,B,2,2,5
280,B,2,2,5
281,B,2,2,5
282,B,2,2,5
283,B,2,2,5
284,B,2,2,5
285,B,2,2,5
286,B,2,2,5
287,B,2,2,5
288,B,2,2,5
289,B,2,2,5
290,B,2,2,5
291,B,2,2,5
292,B,2,2,5
293,B,2,2,5
294,B,2,2,5
295,B,2,2,5
296,B,2,2,5
297,B,2,2,5
298,B,2,2,5
299,B,2,2,5
300,B,2,2,5
301,B,2,2,5
302,B,2,2,5
303,B,2,2,5
